DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
84.0,,522.2769,10.7005,3833216.25,-53.248,,84.0,15911165.758499999
84.15,,522.2694,10.8873,3833270.75,-53.248,,84.15,15910937.271
84.3,,522.262,11.43,3833325.5,-53.248,,84.3,15910711.829999998
84.45,,522.2546,11.3199,3833379.25,-53.248,,84.45,15910486.388999999
84.6,,522.2475,11.0965,3833431.5,-53.248,,84.6,15910270.087499999
84.75,,522.24,11.1361,3833486.75,-53.248,,84.75,15910041.6
84.9,,522.2326,11.3667,3833540.75,-53.248,,84.9,15909816.159000002
85.05,,522.2252,11.3361,3833595.75,-53.248,,85.05,15909590.717999998
85.2,,522.2178,11.2008,3833649.75,-53.248,,85.2,15909365.277
85.35,,522.2104,12.2136,3833704.0,-53.248,,85.35,15909139.836000001
85.5,,522.2029,12.2012,3833759.25,-53.248,,85.5,15908911.3485
85.65,,522.1958,12.0031,3833811.25,-53.248,,85.65,15908695.046999998
85.8,,522.1884,11.5243,3833865.5,-53.248,,85.8,15908469.606
85.95,,522.181,11.8833,3833920.25,-53.248,,85.95,15908244.165000001
86.1,,522.1735,11.8833,3833975.0,-53.248,,86.1,15908015.6775
86.25,,522.166,11.8833,3834030.0,-53.248,,86.25,15907787.190000001
86.4,,522.1586,11.8833,3834084.75,-53.248,,86.4,15907561.749
86.55,,522.1512,11.9866,3834138.75,454.6077,,86.55,15907336.308
86.7,,522.144,12.1226,3834191.5,1314.4462,,86.7,15907116.96
86.85,,522.1366,12.1291,3834245.75,1355.6553,,86.85,15906891.519000001
87.0,,522.1293,12.7673,3834299.75,1355.6553,,87.0,15906669.124499999
87.15,,522.1218,13.5231,3834355.0,1355.6553,,87.15,15906440.637
87.3,,522.1144,13.8136,3834409.0,1355.6553,,87.3,15906215.196000002
87.45,,522.1069,14.6585,3834464.0,1355.6553,,87.45,15905986.7085
87.6,,522.0995,14.777,3834518.0,1355.6553,,87.6,15905761.267500002
87.75,,522.0924,14.777,3834570.25,1355.6553,,87.75,15905544.966
87.9,,522.085,14.3095,3834624.75,1355.6553,,87.9,15905319.525
88.05,,522.0776,12.9904,3834679.25,1355.6553,,88.05,15905094.083999999
88.2,,522.0701,12.6933,3834734.25,1355.6553,,88.2,15904865.5965
88.35,,522.0627,12.5858,3834788.5,1355.6553,,88.35,15904640.155499998
88.5,,522.0554,12.5547,3834842.75,1355.6553,,88.5,15904417.760999998
88.65,,522.0479,12.6573,3834898.0,1355.6553,,88.65,15904189.273500001
88.8,,522.0406,13.3725,3834950.75,1355.6553,,88.8,15903966.879
88.95,,522.0333,13.6284,3835004.75,1355.6553,,88.95,15903744.484500002
89.1,,522.0259,13.6284,3835059.25,1355.6553,,89.1,15903519.043499999
89.25,,522.0185,13.4253,3835113.25,1355.6553,,89.25,15903293.602500001
89.4,,522.011,12.4623,3835168.25,1355.6553,,89.4,15903065.114999998
89.55,,522.0036,11.8983,3835222.75,1355.6553,,89.55,15902839.674
89.7,,521.9962,11.0029,3835277.0,1355.6553,,89.7,15902614.233000001
89.85,,521.9888,10.3612,3835331.5,1355.6553,,89.85,15902388.792
90.0,,521.9816,10.0345,3835384.75,1355.6553,,90.0,15902169.443999998
90.15,,521.9742,9.6805,3835438.5,1355.6553,,90.15,15901944.003
90.3,,521.9669,9.5359,3835493.0,1355.6553,,90.3,15901721.6085
90.45,,521.9594,9.429,3835547.75,2270.0762,,90.45,15901493.121
90.6,,521.952,9.3428,3835602.25,3196.8264,,90.6,15901267.68
90.75,,521.9446,9.4432,3835656.5,3361.9534,,90.75,15901042.239000002
90.9,,521.9371,9.6695,3835711.25,3361.9534,,90.9,15900813.7515
91.05,,521.9299,10.5103,3835764.75,3361.9534,,91.05,15900594.4035
91.2,,521.9225,11.3825,3835818.5,3361.9534,,91.2,15900368.9625
91.35,,521.9152,11.6844,3835872.5,3361.9534,,91.35,15900146.568
91.5,,521.9078,11.8839,3835926.75,3361.9534,,91.5,15899921.126999998
91.65,,521.9003,11.9049,3835981.5,3361.9534,,91.65,15899692.6395
91.8,,521.8929,11.9331,3836036.0,3361.9534,,91.8,15899467.198500002
91.95,,521.8855,11.9137,3836090.75,3361.9534,,91.95,15899241.757499998
92.1,,521.8782,11.9558,3836144.25,3361.9534,,92.1,15899019.363
92.25,,521.871,11.9545,3836197.75,3361.9534,,92.25,15898800.014999999
92.4,,521.8635,11.7375,3836252.25,3361.9534,,92.4,15898571.527500002
92.55,,521.8561,11.7375,3836307.0,3361.9534,,92.55,15898346.086499998
92.7,,521.8487,11.7013,3836361.5,3361.9534,,92.7,15898120.6455
92.85,,521.8414,11.3114,3836415.25,3361.9534,,92.85,15897898.251
93.0,,521.8339,10.5505,3836470.5,3361.9534,,93.0,15897669.7635
93.15,,521.8265,10.349,3836525.0,3361.9534,,93.15,15897444.3225
93.3,,521.8193,9.8846,3836577.5,3361.9534,,93.3,15897224.9745
93.45,,521.8118,10.0324,3836632.5,3361.9534,,93.45,15896996.486999998
93.6,,521.8045,10.6517,3836686.5,3361.9534,,93.6,15896774.0925
93.75,,521.797,11.1667,3836741.0,3361.9534,,93.75,15896545.605
93.9,,521.7896,11.2564,3836795.75,3361.9534,,93.9,15896320.163999999
94.05,,521.7822,11.3162,3836850.25,3361.9534,,94.05,15896094.723
94.2,,521.7747,11.5741,3836905.25,3477.2961,,94.2,15895866.235500002
94.35,,521.7674,11.6882,3836959.0,4400.0024,,94.35,15895643.840999998
94.5,,521.7603,11.6882,3837011.5,6258.5693,,94.5,15895427.539500002
94.65,,521.7528,11.6882,3837066.5,6258.5693,,94.65,15895199.052
94.8,,521.7454,11.7139,3837120.75,6258.5693,,94.8,15894973.611000001
94.95,,521.738,11.9949,3837175.25,6258.5693,,94.95,15894748.170000002
95.1,,521.7305,12.0958,3837230.0,6258.5693,,95.1,15894519.682500001
95.25,,521.7231,11.69,3837284.5,6258.5693,,95.25,15894294.241500001
95.4,,521.716,11.69,3837337.25,6258.5693,,95.4,15894077.94
95.55,,521.7086,11.684,3837391.5,6258.5693,,95.55,15893852.499000002
95.7,,521.7011,10.7941,3837446.5,6258.5693,,95.7,15893624.0115
95.85,,521.6937,10.7941,3837501.5,6258.5693,,95.85,15893398.570500001
96.0,,521.6862,10.7941,3837555.75,6258.5693,,96.0,15893170.082999999
96.15,,521.6788,12.1737,3837610.75,6258.5693,,96.15,15892944.642
96.3,,521.6713,12.7576,3837665.75,6258.5693,,96.3,15892716.154499998
96.45,,521.6642,12.8771,3837717.75,6258.5693,,96.45,15892499.853000002
96.6,,521.6568,12.8842,3837772.75,6258.5693,,96.6,15892274.411999999
96.75,,521.6494,14.0077,3837826.75,6258.5693,,96.75,15892048.971
96.9,,521.642,16.978,3837881.75,6258.5693,,96.9,15891823.530000001
97.05,,521.6345,17.9053,3837936.75,6258.5693,,97.05,15891595.0425
97.2,,521.6271,17.9884,3837991.5,6258.5693,,97.2,15891369.6015
97.35,,521.6197,17.9884,3838045.75,6258.5693,,97.35,15891144.1605
97.5,,521.6123,17.1774,3838100.0,6258.5693,,97.5,15890918.7195
97.65,,521.6052,14.4386,3838152.75,6258.5693,,97.65,15890702.418
97.8,,521.5977,13.8005,3838207.0,6258.5693,,97.8,15890473.9305
97.95,,521.5903,13.4773,3838261.5,6258.5693,,97.95,15890248.4895
98.1,,521.5829,13.6965,3838316.0,6258.5693,,98.1,15890023.0485
98.25,,521.5755,13.8436,3838370.75,7143.4355,,98.25,15889797.607500002
98.4,,521.5681,14.2968,3838425.75,7880.6245,,98.4,15889572.166499998
98.55,,521.5605,15.0774,3838480.75,8042.1709,,98.55,15889340.632500002
98.7,,521.5534,15.8773,3838533.25,8042.1709,,98.7,15889124.331
